filename,width,height,class,xmin,ymin,xmax,ymax
img_1.jpg,1004,752,cell,948,475,969,493
img_1.jpg,1004,752,cell,657,508,685,534
img_1.jpg,1004,752,cell,597,533,622,554
img_1.jpg,1004,752,cell,947,373,967,396
img_1.jpg,1004,752,cell,947,338,970,355
img_1.jpg,1004,752,cell,953,273,986,296
img_1.jpg,1004,752,cell,880,548,909,592
img_1.jpg,1004,752,cell,789,645,811,670
img_1.jpg,1004,752,cell,958,644,981,670
img_1.jpg,1004,752,cell,813,716,835,738
img_1.jpg,1004,752,cell,642,642,661,667
img_10.jpg,1004,752,cell,94,134,117,165
img_10.jpg,1004,752,cell,128,76,161,101
img_10.jpg,1004,752,cell,82,47,99,76
img_10.jpg,1004,752,cell,177,101,200,129
img_10.jpg,1004,752,cell,133,206,154,244
img_10.jpg,1004,752,cell,49,219,79,263
img_10.jpg,1004,752,cell,76,286,105,327
img_10.jpg,1004,752,cell,118,262,154,298
img_10.jpg,1004,752,cell,190,229,225,271
img_10.jpg,1004,752,cell,277,157,308,204
img_10.jpg,1004,752,cell,144,324,195,353
img_10.jpg,1004,752,cell,256,299,281,330
img_10.jpg,1004,752,cell,317,53,354,76
img_10.jpg,1004,752,cell,320,116,354,145
img_10.jpg,1004,752,cell,387,119,422,147
img_10.jpg,1004,752,cell,323,239,351,288
img_10.jpg,1004,752,cell,522,212,559,242
img_10.jpg,1004,752,cell,441,257,474,286
img_10.jpg,1004,752,cell,461,316,489,342
img_10.jpg,1004,752,cell,451,181,466,211
img_10.jpg,1004,752,cell,520,101,540,142
img_10.jpg,1004,752,cell,477,40,508,70
img_10.jpg,1004,752,cell,572,93,599,124
img_10.jpg,1004,752,cell,582,255,610,286
img_10.jpg,1004,752,cell,144,371,167,401
img_10.jpg,1004,752,cell,69,391,95,424
img_10.jpg,1004,752,cell,115,430,144,480
img_10.jpg,1004,752,cell,161,452,184,488
img_10.jpg,1004,752,cell,23,471,51,511
img_10.jpg,1004,752,cell,22,557,53,585
img_10.jpg,1004,752,cell,59,488,81,522
img_10.jpg,1004,752,cell,64,594,115,637
img_10.jpg,1004,752,cell,17,617,59,653
img_10.jpg,1004,752,cell,172,553,203,591
img_10.jpg,1004,752,cell,161,509,233,532
img_10.jpg,1004,752,cell,156,629,195,657
img_10.jpg,1004,752,cell,217,642,246,704
img_10.jpg,1004,752,cell,67,683,100,708
img_10.jpg,1004,752,cell,71,714,154,722
img_10.jpg,1004,752,cell,274,491,333,517
img_10.jpg,1004,752,cell,118,567,156,585
img_10.jpg,1004,752,cell,313,529,351,550
img_10.jpg,1004,752,cell,305,421,399,447
img_10.jpg,1004,752,cell,505,381,546,422
img_10.jpg,1004,752,cell,346,339,389,355
img_10.jpg,1004,752,cell,630,429,658,494
img_10.jpg,1004,752,cell,422,488,495,529
img_10.jpg,1004,752,cell,541,548,605,585
img_10.jpg,1004,752,cell,535,606,577,639
img_10.jpg,1004,752,cell,318,576,379,622
img_10.jpg,1004,752,cell,462,624,500,653
img_10.jpg,1004,752,cell,312,632,362,685
img_10.jpg,1004,752,cell,518,460,548,491
img_10.jpg,1004,752,cell,554,514,630,540
img_3.jpg,1004,752,cell,397,14,418,47
img_3.jpg,1004,752,cell,584,176,603,209
img_3.jpg,1004,752,cell,626,212,651,232
img_3.jpg,1004,752,cell,666,298,695,324
img_3.jpg,1004,752,cell,643,393,677,414
img_3.jpg,1004,752,cell,725,437,762,468
img_3.jpg,1004,752,cell,858,399,884,432
